Resource Name,Type,URL,Description,Related Phase
"CMS MVP Assessment",Documentation,/docs/CMS-MVP-ASSESSMENT.md,"Complete feature gap analysis, architecture design, and 12-week roadmap","Phase 1: Foundation"
"CMS Implementation Guide",Documentation,/docs/CMS-IMPLEMENTATION-GUIDE.md,"Technical reference with code examples, database migrations, and deployment guides","Phase 1: Foundation"
"CMS Immediate Action Plan",Documentation,/docs/CMS-IMMEDIATE-ACTION-PLAN.md,"Day-by-day playbook for Week 1 with copy-paste commands","Phase 1: Foundation"
"CMS Executive Summary",Documentation,/docs/CMS-EXECUTIVE-SUMMARY.md,"Strategic overview with ROI analysis and decision framework","Phase 1: Foundation"
"Supabase Documentation",API Reference,https://supabase.com/docs,"Official Supabase docs for database, auth, storage","Phase 1: Foundation"
"React DnD Documentation",API Reference,https://react-dnd.github.io/react-dnd/,"Official React DnD library documentation for drag-and-drop","Phase 2: Page Builder"
"Radix UI Documentation",API Reference,https://www.radix-ui.com/docs,"Radix UI primitives documentation (already using)","Phase 2: Page Builder"
"shadcn/ui Components",API Reference,https://ui.shadcn.com/,"shadcn/ui component library (already installed)","Phase 2: Page Builder"
"Notion API Reference",API Reference,https://developers.notion.com/,"Notion API documentation for database integration","Phase 1: Foundation"
"Google Workspace Directory API",API Reference,https://developers.google.com/admin-sdk/directory,"Google Workspace user directory API","Phase 1: Foundation"
"Zod Validation Library",API Reference,https://zod.dev/,"TypeScript-first schema validation library","Phase 1: Foundation"
"Vite Documentation",API Reference,https://vite.dev/,"Vite build tool documentation","Phase 1: Foundation"
"React Hook Form",API Reference,https://react-hook-form.com/,"Form library for React (already using)","Phase 3: Form Builder"
"Recharts Documentation",API Reference,https://recharts.org/,"Chart library for React (for chart blocks)","Phase 2: Page Builder"
"Google Cloud Run Documentation",API Reference,https://cloud.google.com/run/docs,"Official Cloud Run documentation","Phase 1: Foundation"
"Google Cloud Storage Documentation",API Reference,https://cloud.google.com/storage/docs,"GCS documentation for asset storage","Phase 5: Asset Management"
"Playwright Testing",API Reference,https://playwright.dev/,"E2E testing framework documentation","Phase 6: Polish & Testing"
"TypeScript Handbook",API Reference,https://www.typescriptlang.org/docs/,"Official TypeScript documentation","Phase 1: Foundation"
"Tailwind CSS v4 Docs",API Reference,https://tailwindcss.com/docs,"Tailwind CSS documentation (v4)","Phase 2: Page Builder"
"PostgreSQL Documentation",API Reference,https://www.postgresql.org/docs/,"PostgreSQL database documentation","Phase 1: Foundation"
"GitHub Repository",Code,https://github.com/Roam-Migration/Rmlintranetdesign,"RML Intranet GitHub repository","Phase 1: Foundation"
"Production Site",Code,https://intranet.roammigrationlaw.com,"Live production intranet","Phase 1: Foundation"
"GCP Console",Code,https://console.cloud.google.com/run?project=rmlintranet,"Google Cloud Console for rmlintranet project","Phase 1: Foundation"
"Existing Notion Integration Guide",Documentation,/docs/NOTION-INTEGRATION-GUIDE.md,"How the current Notion integration works","Phase 1: Foundation"
"Deployment Guide",Documentation,/docs/DEPLOYMENT-GUIDE.md,"How to deploy to Cloud Run","Phase 1: Foundation"
"Security Audit Prompt",Documentation,/.claude/prompts/security-audit.md,"Pre-deployment security checklist","Phase 6: Polish & Testing"
"Architecture Context",Documentation,/.claude/context/architecture.md,"System design and dependencies","Phase 1: Foundation"
"Code Conventions",Documentation,/.claude/context/conventions.md,"Coding standards and patterns","Phase 1: Foundation"
"OWASP Top 10",API Reference,https://owasp.org/www-project-top-ten/,"Web application security risks","Phase 6: Polish & Testing"
"Web Content Accessibility Guidelines",API Reference,https://www.w3.org/WAI/WCAG21/quickref/,"WCAG accessibility guidelines","Phase 6: Polish & Testing"
"React Performance Optimization",API Reference,https://react.dev/learn/render-and-commit,"React rendering and performance","Phase 6: Polish & Testing"
"Database Indexing Guide",API Reference,https://www.postgresql.org/docs/current/indexes.html,"PostgreSQL indexing best practices","Phase 1: Foundation"
"JSON Schema Validation",API Reference,https://json-schema.org/,"JSON Schema specification for config validation","Phase 2: Page Builder"
"Sharp Image Processing",API Reference,https://sharp.pixelplumbing.com/,"Sharp library for image optimization","Phase 5: Asset Management"
"Express.js Documentation",API Reference,https://expressjs.com/,"Express.js web framework documentation","Phase 1: Foundation"
"Lighthouse Performance",API Reference,https://developer.chrome.com/docs/lighthouse/,"Google Lighthouse for performance auditing","Phase 6: Polish & Testing"
"Cloud Build Documentation",API Reference,https://cloud.google.com/build/docs,"GCP Cloud Build CI/CD documentation","Phase 1: Foundation"
"Notion Templates Database",Code,/docs/NOTION-DATABASE-TEMPLATES.md,"Notion database templates and examples","Phase 1: Foundation"
"Google IAP Documentation",API Reference,https://cloud.google.com/iap/docs,"Identity-Aware Proxy documentation","Phase 1: Foundation"
