Task Name,Phase,Status,Priority,Category,Estimated Hours,Dependencies,Notes,Due Date
"Set up project Notion workspace","Phase 1: Foundation",Done,P0,Documentation,1,None,"Import all CSV files and link databases",2026-02-18
"Review CMS assessment documents","Phase 1: Foundation",Not Started,P0,Documentation,2,None,"Read all 4 strategic documents thoroughly",2026-02-19
"Approve MVP scope and budget","Phase 1: Foundation",Not Started,P0,Documentation,2,"Review CMS assessment documents","Get stakeholder sign-off",2026-02-20
"Assign team members and roles","Phase 1: Foundation",Not Started,P0,Documentation,1,"Approve MVP scope and budget","1 senior dev, 0.5 designer, 0.25 devops",2026-02-20
"Create staging GCP project structure","Phase 1: Foundation",Not Started,P0,DevOps,2,None,"Clone production project settings",2026-02-21
"Build staging Docker image","Phase 1: Foundation",Not Started,P0,DevOps,1,"Create staging GCP project structure","Tag with :staging",2026-02-21
"Deploy staging Cloud Run service","Phase 1: Foundation",Not Started,P0,DevOps,1,"Build staging Docker image","Name: rml-intranet-staging",2026-02-21
"Configure staging environment variables","Phase 1: Foundation",Not Started,P0,DevOps,1,"Deploy staging Cloud Run service","ENVIRONMENT=staging, NODE_ENV=staging",2026-02-21
"Set up staging Supabase project","Phase 1: Foundation",Not Started,P0,Database,2,"Deploy staging Cloud Run service","Create new project: rml-intranet-staging",2026-02-22
"Document Supabase connection details","Phase 1: Foundation",Not Started,P1,Database,0.5,"Set up staging Supabase project","Store in secure location",2026-02-22
"Update Cloud Run with Supabase credentials","Phase 1: Foundation",Not Started,P0,DevOps,0.5,"Document Supabase connection details","Set SUPABASE_URL and keys",2026-02-22
"Configure staging domain (staging.intranet.roammigrationlaw.com)","Phase 1: Foundation",Not Started,P1,DevOps,1,"Deploy staging Cloud Run service","Update DNS A record",2026-02-23
"Set up staging IAP (if needed)","Phase 1: Foundation",Not Started,P2,DevOps,2,"Configure staging domain","May allow unauthenticated for testing",2026-02-23
"Create database migration file 001_cms_schema.sql","Phase 1: Foundation",Not Started,P0,Database,2,"Set up staging Supabase project","Include all tables: pages, forms, assets, etc",2026-02-24
"Review database schema with team","Phase 1: Foundation",Not Started,P1,Database,1,"Create database migration file 001_cms_schema.sql","Ensure all requirements captured",2026-02-24
"Run database migration on staging","Phase 1: Foundation",Not Started,P0,Database,0.5,"Review database schema with team","Execute in Supabase SQL editor",2026-02-24
"Verify all tables created correctly","Phase 1: Foundation",Not Started,P0,Database,0.5,"Run database migration on staging","Check table structure and indexes",2026-02-24
"Set up Row Level Security policies","Phase 1: Foundation",Not Started,P1,Database,2,"Verify all tables created correctly","Define access rules per table",2026-02-25
"Test database connections from backend","Phase 1: Foundation",Not Started,P0,Backend,1,"Set up Row Level Security policies","Verify CRUD operations work",2026-02-25
"Create backend types directory and files","Phase 1: Foundation",Not Started,P0,Backend,1,"Test database connections from backend","page.ts, form.ts, asset.ts",2026-02-25
"Define Page TypeScript interfaces","Phase 1: Foundation",Not Started,P0,Backend,1,"Create backend types directory and files","Match database schema exactly",2026-02-25
"Define Form TypeScript interfaces","Phase 1: Foundation",Not Started,P0,Backend,1,"Create backend types directory and files","Include field config types",2026-02-25
"Define Asset TypeScript interfaces","Phase 1: Foundation",Not Started,P1,Backend,0.5,"Create backend types directory and files","Image, video, document types",2026-02-25
"Create PageService class","Phase 1: Foundation",Not Started,P0,Backend,3,"Define Page TypeScript interfaces","CRUD operations + versioning",2026-02-26
"Create FormService class","Phase 1: Foundation",Not Started,P0,Backend,2,"Define Form TypeScript interfaces","CRUD operations + validation",2026-02-26
"Create AssetService class","Phase 1: Foundation",Not Started,P1,Backend,2,"Define Asset TypeScript interfaces","Upload, storage, optimization",2026-02-26
"Create AuditService class","Phase 1: Foundation",Not Started,P2,Backend,1,None,"Log all CMS operations",2026-02-26
"Create pages API routes (GET, POST, PATCH, DELETE)","Phase 1: Foundation",Not Started,P0,Backend,2,"Create PageService class","Mount at /api/cms/pages",2026-02-27
"Add page publish endpoint","Phase 1: Foundation",Not Started,P0,Backend,1,"Create pages API routes","POST /api/cms/pages/:id/publish",2026-02-27
"Add page versions endpoint","Phase 1: Foundation",Not Started,P1,Backend,1,"Create pages API routes","GET /api/cms/pages/:id/versions",2026-02-27
"Add version restore endpoint","Phase 1: Foundation",Not Started,P1,Backend,1,"Add page versions endpoint","POST /api/cms/pages/:id/restore/:versionId",2026-02-27
"Create forms API routes","Phase 1: Foundation",Not Started,P0,Backend,2,"Create FormService class","CRUD for forms",2026-02-27
"Create assets API routes","Phase 1: Foundation",Not Started,P1,Backend,2,"Create AssetService class","Upload, list, delete",2026-02-28
"Add request validation with Zod","Phase 1: Foundation",Not Started,P0,Backend,2,"Create pages API routes","Validate all POST/PATCH bodies",2026-02-28
"Add error handling middleware","Phase 1: Foundation",Not Started,P1,Backend,1,"Add request validation with Zod","Consistent error responses",2026-02-28
"Add audit logging middleware","Phase 1: Foundation",Not Started,P2,Backend,1,"Create AuditService class","Log all CMS operations",2026-02-28
"Update backend index.ts with CMS routes","Phase 1: Foundation",Not Started,P0,Backend,0.5,"Create pages API routes","Mount all CMS routes",2026-02-28
"Build backend TypeScript","Phase 1: Foundation",Not Started,P0,Backend,0.25,"Update backend index.ts with CMS routes","npm run build",2026-02-28
"Deploy backend to staging","Phase 1: Foundation",Not Started,P0,DevOps,1,"Build backend TypeScript","Deploy to rml-intranet-forms-api-staging",2026-02-28
"Test Pages API with curl/Postman","Phase 1: Foundation",Not Started,P0,Testing,2,"Deploy backend to staging","Test all endpoints",2026-03-01
"Test Forms API with curl/Postman","Phase 1: Foundation",Not Started,P0,Testing,1,"Deploy backend to staging","Test all endpoints",2026-03-01
"Document API endpoints (OpenAPI/Postman)","Phase 1: Foundation",Not Started,P1,Documentation,2,"Test Pages API with curl/Postman","Create API documentation",2026-03-01
"Create Week 1 progress report","Phase 1: Foundation",Not Started,P1,Documentation,1,"Document API endpoints","Update WEEK1_PROGRESS.md",2026-03-01
