Decision,Status,Decision Date,Owner,Impact,Context,Options Considered,Outcome
"Use Supabase for CMS database",Approved,2026-02-18,TBD,High,"Need PostgreSQL database with RLS and auto-generated APIs","1. Supabase (PostgreSQL with RLS), 2. Google Cloud SQL, 3. Firebase Realtime DB, 4. MongoDB Atlas","Selected Supabase for RLS, real-time features, and auto-generated APIs. Cost-effective and developer-friendly."
"Use React DnD for page builder",Approved,2026-02-18,TBD,High,"Need drag-and-drop functionality for page builder","1. React DnD, 2. dnd-kit, 3. React Beautiful DnD, 4. Custom implementation","Selected React DnD because it's already installed and has extensive documentation. Proven in production apps."
"12-week timeline for MVP",Approved,2026-02-18,TBD,High,"Balance between speed and quality","1. 6-week aggressive timeline, 2. 12-week balanced, 3. 16-week comprehensive","Selected 12 weeks to allow for proper testing and polish while maintaining momentum."
"Multi-environment architecture (staging + prod)",Approved,2026-02-18,TBD,High,"Need safe testing environment before production changes","1. No staging (prod only), 2. Staging + prod, 3. Dev + staging + prod","Selected staging + prod as minimum viable multi-env. Dev can be local."
"Block-based page architecture",Approved,2026-02-18,TBD,High,"How to structure page content","1. WYSIWYG rich text editor, 2. Block-based builder, 3. Template-based, 4. Code-based","Selected block-based for flexibility, structure, and ease of use. Similar to WordPress Gutenberg, Notion."
"JSON storage for page layouts",Approved,2026-02-18,TBD,Medium,"How to persist page configurations","1. JSON in database, 2. HTML storage, 3. Markdown, 4. Custom binary format","Selected JSON for flexibility, version control, and easy inspection/debugging."
"Zod for API validation",Approved,2026-02-18,TBD,Medium,"Need request validation library","1. Zod, 2. Yup, 3. Joi, 4. class-validator","Selected Zod for TypeScript-first design and schema reuse between frontend/backend."
"shadcn/ui for UI components",Approved,2026-02-18,TBD,Medium,"Already using Radix UI + shadcn","No alternatives considered - already installed and working","Continue using existing component library. 50+ components already available."
"Google Cloud Storage for assets",Pending,2026-02-18,TBD,High,"Need scalable file storage for media library","1. Google Cloud Storage, 2. Supabase Storage, 3. AWS S3, 4. Cloudinary","Pending decision. GCS preferred for GCP integration, but Supabase Storage simpler."
"Beta tester group size",Pending,2026-02-18,TBD,Medium,"How many users for initial testing","1. 3 testers, 2. 5 testers, 3. 10 testers, 4. 20 testers","Pending. Recommend 3-5 for MVP. Enough for feedback, small enough to manage."
"Desktop-only vs responsive builder",Pending,2026-02-18,TBD,Medium,"Should page builder work on mobile?","1. Desktop-only for MVP, 2. Fully responsive, 3. Tablet-optimized","Pending. Recommend desktop-only for MVP. Most CMS admin panels are desktop-centric."
"Scheduled publishing implementation",Pending,2026-02-18,TBD,Medium,"How to implement scheduled publishing","1. Cron job, 2. Cloud Scheduler, 3. Background worker, 4. Skip for MVP","Pending. May defer to post-MVP if time constrained."
"Plugin/extension system",Pending,2026-02-18,TBD,Low,"Should we build plugin architecture in MVP?","1. No plugins for MVP, 2. Basic plugin hooks, 3. Full plugin system","Pending. Recommend defer to post-MVP. Focus on core features first."
"Multi-tenant support",Pending,2026-02-18,TBD,Low,"Support multiple organizations in one deployment?","1. Single-tenant only, 2. Multi-tenant architecture","Pending. Recommend single-tenant for MVP. Can refactor later if productizing."
"AI content generation integration",Pending,2026-02-18,TBD,Low,"Should we add AI content generation (e.g., Claude API)?","1. No AI for MVP, 2. AI block suggestions, 3. AI content generation","Pending. Defer to post-MVP. Nice-to-have but not critical."
"Version control strategy",Approved,2026-02-18,TBD,High,"How to implement version history","1. Full snapshots per version, 2. Diff-based storage, 3. No versioning","Selected full snapshots. Simpler implementation, acceptable storage cost for MVP."
"Authentication strategy",Approved,2026-02-18,TBD,High,"Already using IAP","No alternatives - IAP is already implemented","Continue using Google Workspace SSO via IAP. Works well."
"TypeScript for all code",Approved,2026-02-18,TBD,Medium,"Already using TypeScript throughout","No alternatives - already established pattern","Continue with TypeScript for type safety and better developer experience."
"Tailwind CSS for styling",Approved,2026-02-18,TBD,Medium,"Already using Tailwind v4","No alternatives - already established pattern","Continue with Tailwind CSS. Team familiar, well-integrated."
"Monorepo vs separate repos",Approved,2026-02-18,TBD,Low,"Currently monorepo with frontend + backend","1. Keep monorepo, 2. Split into separate repos","Keep monorepo for MVP. Simpler deployment and coordination."
